,Variable Name,Variable Description,Response Codes,Response Labels,Electricity,Natural Gas,Propane,Fuel Oil,Kerosene
156,PCTYPE2,Second most-used computer - desktop or laptop,"[1, 2, -2]","['Desktop', 'Laptop', 'Not Applicable']",OTH_B,,,,
157,MONITOR2,Monitor type of second most-used computer,"[0, 1, -2]","['Standard Monitor', 'Flat-Panel LCD Monitor', 'Not Applicable']",,,,,
158,PCONOFF2,Turn off second most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_A,,,,
159,PCSLEEP2,Sleep or standby mode for second most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
160,PCTYPE3,Third most-used computer - desktop or laptop,"[1, 2, -2]","['Desktop', 'Laptop', 'Not Applicable']",OTH_B,,,,
161,MONITOR3,Monitor type of third most-used computer,"[0, 1, -2]","['Standard Monitor', 'Flat-Panel LCD Monitor', 'Not Applicable']",,,,,
162,PCONOFF3,Turn off third most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_A,,,,
163,PCSLEEP3,Sleep or standby mode for third most-used computer when not in use,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
164,INTERNET,Internet access at home,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
165,INDIALUP,Dial-up internet access,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
166,INDSL,DSL or Fiber Optic internet access,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
167,INCABLE,Cable internet access,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
168,INSATEL,Satellite internet access,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
169,INWIRELESS,Wireless internet in home,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
170,FAX,Separate fax machine used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
171,COPIER,Separate copy machine used,"[0, 1]","['No', 'Yes']",,,,,
172,WELLPUMP,Well water pump used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
173,DIPSTICK,Automotive block or engine heater or battery blanket used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
174,SWAMPCOL,Evaporative cooler used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
175,AQUARIUM,Large heated aquarium used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
176,STEREO,Stereo equipment used,"[0, 1]","['No', 'Yes']",,,,,
177,NOCORD,Cordless telephone used,"[0, 1]","['No', 'Yes']",,,,,
178,ANSMACH,Answering machine used,"[0, 1]","['No', 'Yes']",,,,,
179,BATTOOLS,Number of rechargeable tools and appliances used,"[0, 1, 2, 3]","['0', '1 to 3', '4 to 8', 'More than 8']",,,,,
180,BATCHRG,Charging patterns for rechargeable tools and appliances,"[1, 2, 3, -2]","['Keep them plugged in all the time', 'Recharge them as needed', 'Both ways are used', 'Not Applicable']",,,,,
181,CHRGPLGT,Chargers for rechargeable tools and appliances left plugged into wall,"[0, 1, 2, -2]","['No', 'Yes', 'Some but not all', 'Not Applicable']",,,,,
182,ELECDEV,Number of rechargeable electronic devices used,"[0, 1, 2, 3]","['0', '1 to 3', '4 to 8', 'More than 8']",OTH_B,,,,
183,ELECCHRG,Charging patterns for rechargeable electronic devices,"[1, 2, 3, -2]","['Keep them plugged in all the time', 'Recharge them as needed', 'Both ways are used', 'Not Applicable']",OTH_A,,,,
184,CHRGPLGE,Chargers for rechargeable electronic devices left plugged into wall,"[0, 1, 2, -2]","['No', 'Yes', 'Some but not all', 'Not Applicable']",,,,,
185,HEATHOME,Space heating equipment used,"[0, 1]","['No', 'Yes']",,,,,
186,DNTHEAT,"No space heating equipment, or unused space heating equipment","[1, 2, -2]","[""Have equipment but don't use it"", ""Don't have any heating equipment"", 'Not Applicable']",,,,,
187,EQUIPNOHEAT,Unused space heating equipment type,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 21, -2]","['Steam or Hot Water System', 'Central Warm-Air Furnace', 'Heat Pump', 'Built-In Electric Units', 'Floor or Wall Pipeless Furnace', 'Built-In Room Heater', 'Heating Stove', 'Fireplace', 'Portable Electric Heaters', 'Portable Kerosene Heaters', 'Cooking Stove', 'Other Equipment', 'Not Applicable']",,,,,
188,FUELNOHEAT,Fuel for unused space heating equipment,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",,,,,
189,EQUIPM,Type of main space heating equpiment used,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 21, -2]","['Steam or Hot Water System', 'Central Warm-Air Furnace', 'Heat Pump', 'Built-In Electric Units', 'Floor or Wall Pipeless Furnace', 'Built-In Room Heater', 'Heating Stove', 'Fireplace', 'Portable Electric Heaters', 'Portable Kerosene Heaters', 'Cooking Stove', 'Other Equipment', 'Not Applicable']","SPH_A, OTH_B",SPH_A,,,
190,FUELHEAT,Main space heating fuel,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",SPH_B,"SPH_B, OTH_B","SPH_B, OTH_B","SPH_B, OTH_B","SPH_B, OTH_B"
191,MAINTHT,Routine service or maintenance performed on main space heating equipment,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
192,EQUIPAGE,Age of main space heating equipment,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
193,REPLCHT,Main space heating equipment replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
194,HELPHT,Assistance for replacing or maintaining main space heating equipment,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
195,HELPHTY,Year of assistance for main space heating equipment,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', '2010', 'Prior to 2006', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
196,HEATOTH,"Main space heating equipment heats other homes, business, or farm","[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
197,EQUIPAUX,Secondary space heating equipment used,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
198,REVERSE,Heat pump used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
199,WARMAIR,Central warm-air furnace used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
200,FURNFUEL,Fuel used by warm-air furnace for secondary space heating,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",,,,,
201,STEAMR,Hot water system used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
202,RADFUEL,Fuel used by hot water system for secondary space heating,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",,,,,
203,PERMELEC,Built-in electric units used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
204,PIPELESS,Pipeless furnace used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
205,PIPEFUEL,Fuel used by pipeless furnace for secondary space heating,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",,,,,
206,ROOMHEAT,Built-in room heaters used for secondary space hearing,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
207,RMHTFUEL,Fuel used by built-in electric units for secondary space heating,"[1, 2, 3, 4, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Not Applicable']",,,,,
208,WOODKILN,Heating stove used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
209,HSFUEL,Fuel used by heating stove for secondary space heating,"[7, 21, -2]","['Wood', 'Other Fuel', 'Not Applicable']",,,,,
210,CARRYEL,Portable electric heaters used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
211,CARRYKER,Portable kerosene heaters used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,"SPH_B, OTH_B"
212,CHIMNEY,Fireplace used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
213,FPFUEL,Fuel used by fireplace for secondary space heating,"[1, 2, 7, 21, -2]","['Natural Gas', 'Propane/LPG', 'Wood', 'Other Fuel', 'Not Applicable']",,,,,
214,NGFPFLUE,Flue on gas fireplace,"[1, 2, -2]","['Flue to the outside', 'Flueless', 'Not Applicable']",,,,,
215,USENGFP,Frequency gas fireplace used,"[1, 2, 3, -2]","['Most days', 'About once a week', 'Fewer than 4 times each month', 'Not Applicable']",,,,,
216,RANGE,Cooking stove used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
217,RNGFUEL,Fuel used by cooking stove for secondary space heating,"[1, 2, 3, 4, 5, 7, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Other Fuel', 'Not Applicable']",,,,,
218,DIFEQUIP,Other equipment used for secondary space heating,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
219,DIFFUEL,Fuel used by other secondary space heating equipment,"[1, 2, 3, 4, 5, 7, 8, 9, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'District Steam', 'Other Fuel', 'Not Applicable']",,,,,
220,EQMAMT,Portion of space heating provided by main space heating equipment (for homes with main and secondary heating only),"[1, 2, 3, -2]","['Almost all', 'About three-fourths', 'Closer to half', 'Not Applicable']",SPH_A,SPH_A,SPH_A,SPH_A,
221,THERMAIN,Thermostat(s) for heating equipment,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
222,PROTHERM,Programmable main thermostat,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
223,AUTOHEATNITE,Programmable thermostat lowers temperature at night,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
224,AUTOHEATDAY,Programmable thermostat lowers temperature during the day,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
225,MOISTURE,Humidifier used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
226,USEMOISTURE,Number of months humidifier used in 2009,"[1, 2, 3, 4, 5, -2]","['1 to 3 months', '4 to 6 months', '7 to 9 months', '10 to 11 months', 'Turned on all year', 'Not Applicable']",OTH_B,,,,
227,H2OTYPE1,Type of main water heater,"[1, 2, -2]","['Storage water heater', 'Tankless water heater', 'Not Applicable']",WTH_B,WTH_B,WTH_B,WTH_B,
228,FUELH2O,Fuel used by main water heater,"[1, 2, 3, 4, 5, 7, 8, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'Other Fuel', 'Not Applicable']",WTH_B,"WTH_B, OTH_B","WTH_B, OTH_B","WTH_B, OTH_B","WTH_B, OTH_B"
229,WHEATOTH,Main water heater is used by more than one housing unit,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
230,WHEATSIZ,Main water heater size (if storage tank),"[1, 2, 3, -2]","['Small (30 gallons or less)', 'Medium (31 to 49 gallons)', 'Large (50 gallons or more)', 'Not Applicable']",WTH_B,WTH_B,WTH_B,WTH_B,
231,WHEATAGE,Main water heater age,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",WTH_A,,,,
232,WHEATBKT,Blanket around the main water heater (if storage tank),"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
233,HELPWH,Assistance for purchasing the water heater blanket,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
234,HELPWHY,Year of the assistance for purchasing the water heater blanket,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
235,H2OTYPE2,Type of secondary water heater,"[1, 2, -2]","['Storage water heater', 'Tankless water heater', 'Not Applicable']",WTH_B,,WTH_B,WTH_B,
236,FUELH2O2,Fuel used by secondary water heater,"[1, 2, 3, 4, 5, 7, 8, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Wood', 'Solar', 'Other Fuel', 'Not Applicable']",WTH_B,"WTH_B, OTH_B","WTH_B, OTH_B","WTH_B, OTH_B","WTH_B, OTH_B"
237,WHEATSIZ2,Secondary water heater size (if storage tank),"[1, 2, 3, -2]","['Small (30 gallons or less)', 'Medium (31 to 49 gallons)', 'Large (50 gallons or more)', 'Not Applicable']",WTH_B,,WTH_B,WTH_B,
238,WHEATAGE2,Secondary water heater age,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
239,AIRCOND,Air conditioning equipment used,"[0, 1]","['No', 'Yes']",COL_B,,,,
240,DNTAC,"No air conditioning equipment, or unused air conditioning equipment","[1, 2, -2]","[""Have equipment but don't use it"", ""Don't have any air conditioning equipment"", 'Not Applicable']",,,,,
241,COOLTYPENOAC,Type of unused air conditioning equipment,"[1, 2, 3, -2]","['Central system', 'Window/wall units', 'Both a central system and window/wall units', 'Not Applicable']",,,,,
242,COOLTYPE,Type of air conditioning equipment used,"[1, 2, 3, -2]","['Central system', 'Window/wall units', 'Both a central system and window/wall units', 'Not Applicable']",COL_B,,,,
243,DUCTS,Ducts for space heating and air conditioning,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
244,CENACHP,Central air conditioner is a heat pump,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
245,ACOTHERS,"Central air conditioner cools other homes, business, or farm","[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
246,MAINTAC,Routine service or maintenance performed on central air conditioner,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
247,AGECENAC,Age of central air conditioner,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
248,REPLCCAC,Central air conditioner replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
249,HELPCAC,Assistance for maintaining or replacing central air conditioner,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
250,HELPCACY,Year of assistance for central air conditioner,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
251,USECENAC,Frequency central air conditioner used in summer 2009,"[1, 2, 3, -2]","['Turned on only a few days or nights when really needed', 'Turned on quite a bit', 'Turned on just about all summer', 'Not Applicable']",COL_A,,,,
252,THERMAINAC,Thermostat for central air conditioner,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
253,PROTHERMAC,Programmable thermostat for central air conditioner,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
254,AUTOCOOLNITE,Programmable thermostat adjusts temperature at night,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
255,AUTOCOOLDAY,Programmable thermostat adjusts temperature during the day,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
256,WWACAGE,Age of most-used window/wall air conditioning unit,"[1, 2, 3, 41, 42, 5, -2]","['Less than 2 years old', '2 to 4 years old', '5 to 9 years old', '10 to 14 years old', '15 to 19 years old', '20 years or older', 'Not Applicable']",,,,,
257,ESWWAC,Energy Star most-used window/wall air conditioning unit,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
258,REPLCWWAC,Most-used window/wall air conditioning unit replaced by this household in the last 4 years,"[0, 1, -2, -8, -9]","['No', 'Yes', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
259,HELPWWAC,Assistance for most-used window/wall air conditioning unit,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
260,HELPWWACY,Year of assistance for most-used window/wall air conditioning unit,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
261,USEWWAC,Frequency most-used window/wall air conditioning unit used in summer 2009,"[1, 2, 3, -2]","['Turned on only a few days or nights when really needed', 'Turned on quite a bit', 'Turned on just about all summer', 'Not Applicable']",COL_A,,,,
262,USECFAN,Frequency most-used ceiling fan used in summer 2009,"[1, 2, 3, 4, -2]","['Turned on only a few days or nights when really needed', 'Turned on quite a bit', 'Turned on just about all summer', 'Not used at all', 'Not Applicable']",,,,,
263,TREESHAD,Housing unit shaded from sun by large trees,"[0, 1]","['No', 'Yes']",,,,,
264,NOTMOIST,Dehumidifier used,"[0, 1]","['No', 'Yes']",OTH_B,,,,
265,USENOTMOIST,Number of months dehumidifier used in 2009,"[1, 2, 3, 4, 5, -2]","['1 to 3 months', '4 to 6 months', '7 to 9 months', '10 to 11 months', 'Turned on all year', 'Not Applicable']",OTH_B,,,,
266,HIGHCEIL,High ceilings ,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
267,CATHCEIL,Cathedral ceilings,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,SPH_A,
268,SWIMPOOL,Swimming pool,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",OTH_B,,,,
269,POOL,Heated swimming pool,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
270,FUELPOOL,Fuel used for heating swimming pool,"[1, 2, 3, 4, 5, 8, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Solar', 'Other Fuel', 'Not Applicable']",OTH_B,OTH_B,OTH_B,OTH_B,
271,RECBATH,Hot tub used,"[0, 1]","['No', 'Yes']",,,,,
272,FUELTUB,Fuel used for heating hot tub,"[1, 2, 3, 4, 5, 8, 21, -2]","['Natural Gas', 'Propane/LPG', 'Fuel Oil', 'Kerosene', 'Electricity', 'Solar', 'Other Fuel', 'Not Applicable']",OTH_B,OTH_B,OTH_B,OTH_B,
273,INSTLCFL,Energy-efficient bulbs installed by this household,"[0, 1, -2]","['No', 'Yes', 'Not Applicable']",,,,,
274,HELPCFL,Assistance for energy-efficient light bulbs,"[0, 1, 2, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
275,HELPCFLY,Year of assistance for energy-efficient light bulbs,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
276,SLDDRS,Sliding glass doors in heated areas,"[0, 1]","['No', 'Yes']",,,,,
277,WINDOWS,Number of windows in heated areas,"[0, 10, 20, 30, 41, 42, 50, 60]","['None', '1 or 2', '3 to 5', '6 to 9', '10 to 15', '16 to 19', '20 to 29', '30 or more']",,,,,
278,TYPEGLASS,Type of glass in most windows,"[1, 2, 3, -2]","['Single-pane glass', 'Double-pane glass', 'Triple-pane glass', 'Not Applicable']",,,,,
279,NEWGLASS,Windows replaced by this household,"[1, 2, 3, -2]","['All of the windows', 'Some of the windows', 'None of the windows', 'Not Applicable']",,,,,
280,HELPWIN,Assistance for window replacement,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
281,HELPWINY,Year of assistance for window replacement,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
282,ADQINSUL,Level of insulation (respondent reported),"[1, 2, 3, 4]","['Well Insulated', 'Adequately Insulated', 'Poorly Insulated', 'No Insulation']",,,,,
283,INSTLINS,Insulation added by this household,"[0, 1]","['No', 'Yes']",,,,,
284,AGEINS,Year of added insulation,"[1, 2, 3, 41, 42, 5, -2]","['In the last 2 years', '2 to 4 years ago', '5 to 9 years ago', '10 to 14 years ago', '15 to 19 years ago', '20 years or more', 'Not Applicable']",,,,,
285,HELPINS,Assistance for added insulation,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
286,HELPINSY,Year of assistance for added insulation,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
287,DRAFTY,Is home too drafty in the winter? (respondent reported),"[1, 2, 3, 4]","['All the time', 'Most of the time', 'Some of the time', 'Never']",,,,,
288,INSTLWS,Caulking or weather stripping by this household,"[0, 1]","['No', 'Yes']",,,,,
289,AGEWS,Year of caulking or weather stripping,"[1, 2, 3, 41, 42, 5, -2]","['In the last 2 years', '2 to 4 years ago', '5 to 9 years ago', '10 to 14 years ago', '15 to 19 years ago', '20 years or more', 'Not Applicable']",,,,,
290,HELPWS,Assistance for caulking or weather stripping,"[0, 1, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Manfacturer or retailer rebate', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
291,HELPWSY,Year of assistance for caulking or weather stripping,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
292,AUDIT,Home energy audit,"[0, 1]","['No', 'Yes']",,,,,
293,AGEAUD,Year of home energy audit,"[1, 2, 3, 41, 42, 5, -2]","['In the last 2 years', '2 to 4 years ago', '5 to 9 years ago', '10 to 14 years ago', '15 to 19 years ago', '20 years or more', 'Not Applicable']",,,,,
294,HELPAUD,Assistance for home energy audit,"[0, 2, 3, 4, 5, -2, -8, -9]","['Did not receive any assistance', 'Utility or energy supplier rebate', 'Tax credit', 'Subsidized loan', 'Weatherization assistance', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
295,HELPAUDY,Year of assistance for home energy audit,"[1, 2, 3, 4, 5, 6, -2, -8, -9]","['2006', '2007', '2008', '2009', 'Prior to 2006', '2010', 'Not Applicable', 'Refuse', ""Don't Know""]",,,,,
296,USEEL,Electricity is used in home,"[0, 1]","['No', 'Yes']",,,,,
297,USENG,Natural gas is used in home,"[0, 1]","['No', 'Yes']",,,,,
298,USELP,Propane is used in home,"[0, 1]","['No', 'Yes']",,,,,
299,USEFO,Fuel oil is used in home,"[0, 1]","['No', 'Yes']",,,,,
300,USEKERO,Kerosene is used in home,"[0, 1]","['No', 'Yes']",,,,,
301,USEWOOD,Wood is used in home,"[0, 1]","['No', 'Yes']",,,,,
302,USESOLAR,Solar is used in home,"[0, 1]","['No', 'Yes']",,,,,
303,USEOTH,Other fuel is used in home,"[0, 1]","['No', 'Yes']",,,,,
304,ELWARM,Electricity used for space heating,"[0, 1]","['No', 'Yes']",,,,,
305,ELECAUX,Electricity used for secondary space heating,"[0, 1]","['No', 'Yes']",SPH_B,,,,
306,ELCOOL,Electricity used for air conditioning,"[0, 1]","['No', 'Yes']",,,,,
307,ELWATER,Electricity used for water heating,"[0, 1]","['No', 'Yes']",,,,,
308,ELFOOD,Electricity used for cooking,"[0, 1]","['No', 'Yes']",,,,,
309,ELOTHER,"Electricity used, other than for space heating, water heating, air conditioning, or cooking","[0, 1]","['No', 'Yes']",,,,,
310,UGWARM,Natural gas used for space heating,"[0, 1]","['No', 'Yes']",,,,,
311,UGASAUX,Natural gas used for secondary space heating,"[0, 1]","['No', 'Yes']",,"SPH_B, OTH_B",,,
312,UGWATER,Natural gas used for water heating,"[0, 1]","['No', 'Yes']",,,,,
313,UGCOOK,Natural gas used for cooking,"[0, 1]","['No', 'Yes']",,,,,
314,UGOTH,"Natural gas used, other than for space heating, water heating, or cooking","[0, 1]","['No', 'Yes']",,OTH_B,,,
315,LPWARM,Propane used for space heating,"[0, 1]","['No', 'Yes']",,,,,
316,LPGAUX,Propane used for secondary space heating,"[0, 1]","['No', 'Yes']",,,"SPH_B, OTH_B",,
317,LPWATER,Propane used for water heating,"[0, 1]","['No', 'Yes']",,,WTH_B,,
318,LPCOOK,Propane used for cooking,"[0, 1]","['No', 'Yes']",,,OTH_B,,
319,LPOTHER,"Propane used, other than for space heating, water heating, or cooking","[0, 1]","['No', 'Yes']",,,,,
320,FOWARM,Fuel oil used for space heating,"[0, 1]","['No', 'Yes']",,,,,
321,FOILAUX,Fuel oil used for secondary space heating,"[0, 1]","['No', 'Yes']",,,,"SPH_B, OTH_B",
322,FOWATER,Fuel oil used for water heating,"[0, 1]","['No', 'Yes']",,,,,
323,FOOTHER,"Fuel oil used, other than for space heating or water heating","[0, 1]","['No', 'Yes']",,,,,
324,KRWARM,Kerosene used for space heating,"[0, 1]","['No', 'Yes']",,,,,
325,KEROAUX,Kerosene used for secondary space heating,"[0, 1]","['No', 'Yes']",,,,,"SPH_B, OTH_B"
326,KRWATER,Kerosene used for water heating,"[0, 1]","['No', 'Yes']",,,,,
327,KROTHER,"Kerosene used, other than for space heating or water heating","[0, 1]","['No', 'Yes']",,,,,
328,WDWARM,Wood used for space heating,"[0, 1]","['No', 'Yes']",,,,,
329,WOODAUX,Wood used for secondary space heating,"[0, 1]","['No', 'Yes']",,,,,
330,WDWATER,Wood used for water heating,"[0, 1]","['No', 'Yes']",,,,,
